MovieID,NumRatings,AvgRating,Title,Genres,WeightedRating,PosterPath
m318,2227,4.554557700942973,"Shawshank Redemption, The (1994)",Drama,4.529214530271565,./MovieImages/318.jpg
m858,2223,4.524966261808367,"Godfather, The (1972)",Action|Crime|Drama,4.5002294260573485,./MovieImages/858.jpg
m527,2304,4.510416666666667,Schindler's List (1993),Drama|War,4.486840053283073,./MovieImages/527.jpg
m50,1783,4.517106001121705,"Usual Suspects, The (1995)",Crime|Thriller,4.486645654898173,./MovieImages/50.jpg
m2019,628,4.560509554140127,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.474957943109666,./MovieImages/2019.jpg
m1198,2514,4.477724741447892,Raiders of the Lost Ark (1981),Action|Adventure,4.456716647982977,./MovieImages/1198.jpg
m1148,882,4.507936507936508,"Wrong Trousers, The (1993)",Animation|Comedy,4.448520907111967,./MovieImages/1148.jpg
m745,657,4.52054794520548,"Close Shave, A (1995)",Animation|Comedy|Thriller,4.441331662557784,./MovieImages/745.jpg
m260,2991,4.453694416583082,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.4363766805091585,./MovieImages/260.jpg
m904,1050,4.476190476190476,Rear Window (1954),Mystery|Thriller,4.427292259480322,./MovieImages/904.jpg
